name,symbol,category,set,keywords
Volume High,bb-vol-high,entertainment,bb10,"entertainment, media"
Volume Low,bb-vol-low,entertainment,bb10,"entertainment, media"
Volume Medium,bb-vol-med,entertainment,bb10,"entertainment, media"
Mute,bb-vol-mute,entertainment,bb10,"entertainment, media"
Warning,bb-warning,UI,bb10,UI
Wifi,bb-wifi,technology,bb10,technology
Woman,bb-woman-turtleneck,people,bb10,people
Woman,bb-woman-vneck,people,bb10,people
Zoom In,bb-zoom-in,UI,bb10,UI
Zoom Out,bb-zoom-out,UI,bb10,UI
Infinity,bb-infinity,UI,bb10,"UI, technology"
Cherries,bb-cherries,food,bb10,food
Asterisk,gl-asterisk,UI,glyphicons,UI
Plus,gl-plus,UI,glyphicons,UI
Euro,gl-euro,business,glyphicons,business
Minus,gl-minus,UI,glyphicons,UI
Cloud,gl-cloud,technology,glyphicons,technology
Envelope,gl-envelope,"business, office",glyphicons,"business, office"
Pencil,gl-pencil,"business, office",glyphicons,"business, office"
Glass,gl-glass,"food, objects",glyphicons,"food, objects"
Music,gl-music,entertainment,glyphicons,"entertainment, media"
Search,gl-search,UI,glyphicons,UI
Heart,gl-heart,"People, UI",glyphicons,"People, UI"
Star,gl-star,UI,glyphicons,UI
Star Empty,gl-star-empty,UI,glyphicons,UI
User,gl-user,"people, UI",glyphicons,"people, UI"
Film,gl-film,entertainment,glyphicons,"entertainment, media"
Th Large,gl-th-large,UI,glyphicons,UI
Th,gl-th,UI,glyphicons,UI
Th List,gl-th-list,UI,glyphicons,UI
Ok,gl-ok,UI,glyphicons,UI
Remove,gl-remove,UI,glyphicons,UI
Zoom In,gl-zoom-in,UI,glyphicons,UI
Zoom Out,gl-zoom-out,UI,glyphicons,UI
Off,gl-off,UI,glyphicons,UI
Signal,gl-signal,objects,glyphicons,objects
Cog,gl-cob,UI,glyphicons,UI
Trash,gl-trash,"UI, objects",glyphicons,"UI, objects"
Home,gl-home,UI,glyphicons,UI
File,gl-file,"UI, technology",glyphicons,"UI, technology"
Time,gl-time,"UI, objects",glyphicons,"UI, objects"
Road,gl-road,"UI, travel",glyphicons,"UI, travel"
Download Alt,gl-download-alt,UI,glyphicons,UI
Download,gl-download,UI,glyphicons,UI
Upload,gl-upload,UI,glyphicons,UI
Inbox,gl-inbox,"UI, office",glyphicons,"UI, office"
Play Circle,gl-play-circle,entertainment,glyphicons,"entertainment, media"
Repeat,gl-repeat,entertainment,glyphicons,"entertainment, media"
Refresh,gl-refresh,"UI, technology",glyphicons,"UI, technology"
List Alt,gl-list-alt,UI,glyphicons,UI
Lock,gl-lock,"UI, objects",glyphicons,"UI, objects"
Flag,gl-flag,objects,glyphicons,objects
Headphones,gl-headphones,entertainment,glyphicons,"entertainment, media"
Volume Off,gl-volume-off,entertainment,glyphicons,"entertainment, media"
Volume Down,gl-volume-down,entertainment,glyphicons,"entertainment, media"
Volume Up,gl-volume-up,entertainment,glyphicons,"entertainment, media"
Qrcode,gl-qrcode,technology,glyphicons,technology
Barcode,gl-barcode,technology,glyphicons,technology
Tag,gl-tag,UI,glyphicons,UI
Tags,gl-tags,UI,glyphicons,UI
Book,gl-book,objects,glyphicons,objects
Bookmark,gl-bookmark,objects,glyphicons,objects
Print,gl-print,office,glyphicons,office
Camera,gl-camera,entertainment,glyphicons,"entertainment, media"
Font,gl-font,UI,glyphicons,UI
Bold,gl-bold,UI,glyphicons,UI
Italic,gl-italic,UI,glyphicons,UI
Line Height,gl-line-height,UI,glyphicons,UI
Text Width,gl-text-width,UI,glyphicons,UI
Align Left,gl-align-left,UI,glyphicons,UI
Align Center,gl-align-center,UI,glyphicons,UI
Align Right,gl-align-right,UI,glyphicons,UI
Align Justify,gl-align-justify,UI,glyphicons,UI
List,gl-list,UI,glyphicons,UI
Indent Left,gl-indent-left,UI,glyphicons,UI
Indent Right,gl-indent-right,UI,glyphicons,UI
Facetime Video,gl-facetime-video,entertainment,glyphicons,"entertainment, media"
Picture,gl-picture,entertainment,glyphicons,"entertainment, media"
Map Marker,gl-map-marker,travel,glyphicons,travel
Adjust,gl-adjust,UI,glyphicons,UI
Tint,gl-tint,UI,glyphicons,UI
Edit,gl-edit,UI,glyphicons,UI
Share,gl-share,"UI, social",glyphicons,"UI, social"
Check,gl-check,UI,glyphicons,UI
Move,gl-move,UI,glyphicons,UI
Step Backward,gl-step-backward,entertainment,glyphicons,"entertainment, media"
Fast Backward,gl-fast-backward,entertainment,glyphicons,"entertainment, media"
Backward,gl-backward,entertainment,glyphicons,"entertainment, media"
Fast Forward,gl-fast-forward,entertainment,glyphicons,"entertainment, media"
Step Forward,gl-step-forward,entertainment,glyphicons,"entertainment, media"
Eject,gl-eject,entertainment,glyphicons,"entertainment, media"
Chevron Left,gl-chevron-left,UI,glyphicons,UI
Chevron Right,gl-chevron-right,UI,glyphicons,UI
Plus Sign,gl-plus-sign,UI,glyphicons,UI
Minus Sign,gl-minus-sign,UI,glyphicons,UI
Remove Sign,gl-remove-sign,UI,glyphicons,UI
Ok Sign,gl-ok-sign,UI,glyphicons,UI
Question Mark,gl-question-sign,UI,glyphicons,UI
Info Sign,gl-info-sign,UI,glyphicons,UI
Screenshot,gl-screen-shot,UI,glyphicons,UI
Remove Circle,gl-remove-circle,UI,glyphicons,UI
Ok Circle,gl-ok-circle,UI,glyphicons,UI
Ban Circle,gl-ban-circle,UI,glyphicons,UI
Arrow Left,gl-arrow-left,UI,glyphicons,UI
Arrow Right,gl-arrow-right,UI,glyphicons,UI
Arrow Up,gl-arrow-up,UI,glyphicons,UI
Arrow Down,gl-arrow-down,UI,glyphicons,UI
Share Alt,gl-share-alt,"UI, social",glyphicons,"UI, social"
Resize Full,gl-resize-full,UI,glyphicons,UI
Resize Small,gl-resize-small,UI,glyphicons,UI
Exclamation Sign,gl-exclamation-sign,UI,glyphicons,UI
Gift,gl-gift,objects,glyphicons,objects
Leaf,gl-leaf,objects,glyphicons,objects
Fire,gl-fire,objects,glyphicons,objects
Eye Open,gl-eye-open,people,glyphicons,people
Eye Close,gl-eye-close,people,glyphicons,people
Warning Sign,gl-warning-sign,UI,glyphicons,UI
Plane,gl-plane,objects,glyphicons,objects
Calendar,gl-calendar,"objects, office",glyphicons,"objects, office"
Random,gl-random,UI,glyphicons,UI
Comment,gl-comment,social,glyphicons,social
Magnet,gl-magnet,objects,glyphicons,objects
Chevron Up,gl-chevron-up,UI,glyphicons,UI
Chevron Down,gl-chevron-down,UI,glyphicons,UI
Retweet,gl-retweet,social,glyphicons,social
Shopping Cart,gl-shopping-cart,"objects, business",glyphicons,"objects, business"
Folder-Close,gl-folder-close,"office, technology",glyphicons,"office, technology"
Folder Open,gl-folder-open,"office, technology",glyphicons,"office, technology"
Resize Vertical,gl-resize-vertical,UI,glyphicons,UI
Resize Horizontal,gl-resize-horizontal,UI,glyphicons,UI
Hdd,gl-resize-hdd,entertainment,glyphicons,"entertainment, media"
Bullhorn,gl-resize-bullhorn,objects,glyphicons,objects
Bell,gl-resize-bell,objects,glyphicons,objects
Certificate,gl-resize-certificate,UI,glyphicons,UI
Thumbs Up,gl-thumbs-up,social,glyphicons,social
Thumbs Down,gl-thumbs-down,social,glyphicons,social
Hand Right,gl-hand-right,social,glyphicons,social
Hand Left,gl-hand-left,social,glyphicons,social
Hand Up,gl-hand-up,social,glyphicons,social
Hand Down,gl-hand-down,social,glyphicons,social
Circle Arrow Right,gl-circle-arrow-right,UI,glyphicons,UI
Circle Arrow Left,gl-circle-arrow-left,UI,glyphicons,UI
Circle Arrow Up,gl-circle-arrow-up,UI,glyphicons,UI
Circle Arrow Down,gl-circle-arrow-down,UI,glyphicons,UI
Globe,gl-globe,UI,glyphicons,UI
Wrench,gl-wrench,objects,glyphicons,objects
Tasks,gl-tasks,UI,glyphicons,UI
Filter,gl-filter,UI,glyphicons,UI
Briefcase,gl-briefcase,"office, business, objects",glyphicons,"office, business, objects"
Full Screen,gl-full-screen,UI,glyphicons,UI
Dashboard,gl-dashboard,UI,glyphicons,UI
Paperclip,gl-paperclip,"objects, office",glyphicons,"objects, office"
Heart Empty,gl-heart-empty,"people, UI",glyphicons,"people, UI"
Link,gl-link,UI,glyphicons,UI
Phone,gl-phone,objects,glyphicons,objects
Pushpin,gl-pushpin,"office, objects",glyphicons,"office, objects"
USD,gl-usd,business,glyphicons,business
GBP,gl-gbp,business,glyphicons,business
Sort,gl-sort,UI,glyphicons,UI
Sort by Alphabet,gl-sort-by-alphabet,UI,glyphicons,UI
Sort by Alphabet Alt,gl-sort-by-alphabet-alt,UI,glyphicons,UI
Sort by Order,gl-sort-by-order,UI,glyphicons,UI
Sort by Order Alt,gl-sort-by-order-alt,UI,glyphicons,UI
Sort by Attributes,gl-sort-by-attributes,UI,glyphicons,UI
Sort by Attributes Alt,gl-sort-by-attributes-alt,UI,glyphicons,UI
Unchecked ,gl-unchecked,UI,glyphicons,UI
Expand,gl-expand,UI,glyphicons,UI
Collapse Down,gl-collapse-down,UI,glyphicons,UI
Collapse Up,gl-collapse-up,UI,glyphicons,UI
Login,gl-log-in,UI,glyphicons,UI
Flash,gl-flash,UI,glyphicons,UI
Logout,gl-log-out,UI,glyphicons,UI
New Window,gl-new-window,UI,glyphicons,UI
Record,gl-record,entertainment,glyphicons,entertainment
Save,gl-save,"UI, technology",glyphicons,"UI, technology"
Open,gl-open,"UI, technology",glyphicons,"UI, technology"
Saved,gl-saved,"UI, technology",glyphicons,"UI, technology"
Import,gl-import,"UI, technology",glyphicons,"UI, technology"
Export,gl-export,"UI, technology",glyphicons,"UI, technology"
Send,gl-send,"UI, technology",glyphicons,"UI, technology"
Floppy Disk,gl-floppy-disk,"UI, technology",glyphicons,"UI, technology"
Floppy Saved,gl-floppy-saved,"UI, technology",glyphicons,"UI, technology"
Floppy Remove,gl-remove,"UI, technology",glyphicons,"UI, technology"
Floppy Save,gl-save,"UI, technology",glyphicons,"UI, technology"
Floppy Open,gl-open,"UI, technology",glyphicons,"UI, technology"
Credit Card,gl-credit-card,business,glyphicons,business
Transfer,gl-transfer,"UI, technology",glyphicons,"UI, technology"
Cutlery,gl-cutlery,food,glyphicons,food
Header,gl-header,UI,glyphicons,UI
Compressed,gl-compressed,UI,glyphicons,UI
Earphone,gl-earphone,entertainment,glyphicons,entertainment
Phone Alt,gl-phone-alt,objects,glyphicons,objects
Tower,gl-tower,objects,glyphicons,objects
Stats,gl-stats,"UI, business",glyphicons,"UI, business"
SD Video,gl-sd-video,entertainment,glyphicons,"entertainment, media"
HD Video,gl-hd-video,entertainment,glyphicons,"entertainment, media"
Subtitles,gl-subtitles,entertainment,glyphicons,"entertainment, media"
Stereo Sound,gl-sound-stereo,entertainment,glyphicons,"entertainment, media"
Dolby Sound,gl-sound-dolby,entertainment,glyphicons,"entertainment, media"
Sound 5.1,gl-sound-5-1,entertainment,glyphicons,"entertainment, media"
Sound 6.1,gl-sound-6-1,entertainment,glyphicons,"entertainment, media"
Sound 7.1,gl-sound-7-1,entertainment,glyphicons,"entertainment, media"
Copyright,gl-copyright-mark,business,glyphicons,business
Registered ,gl-regristration-mark,business,glyphicons,business
Download,gl-cloud-download,"UI, technology",glyphicons,"UI, technology"
Upload,gl-cloud-upload,"UI, technology",glyphicons,"UI, technology"
Tree Conifer,gl-tree-conifer,nature,glyphicons,nature
Tree Deciduous,gl-tree-deciduous,nature,glyphicons,nature
